 Multi-Channel Level Detector 
 
 Data File Syntax is : 

 Weekday Month Day HH:MM:SS Year : ADC Value 
Tue Jun 18 17:28:24 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:25 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:26 2019 CH: 0 ADCVal: 298
Tue Jun 18 17:28:27 2019 CH: 0 ADCVal: 294
Tue Jun 18 17:28:28 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:29 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:30 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:31 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:32 2019 CH: 0 ADCVal: 288
Tue Jun 18 17:28:33 2019 CH: 0 ADCVal: 283
Tue Jun 18 17:28:34 2019 CH: 0 ADCVal: 288
Tue Jun 18 17:28:35 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:36 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:37 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:38 2019 CH: 0 ADCVal: 281
Tue Jun 18 17:28:39 2019 CH: 0 ADCVal: 280
Tue Jun 18 17:28:40 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:41 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:42 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:43 2019 CH: 0 ADCVal: 276
Tue Jun 18 17:28:44 2019 CH: 0 ADCVal: 274
Tue Jun 18 17:28:45 2019 CH: 0 ADCVal: 279
Tue Jun 18 17:28:46 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:47 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:48 2019 CH: 0 ADCVal: 268
Tue Jun 18 17:28:49 2019 CH: 0 ADCVal: 266
Tue Jun 18 17:28:50 2019 CH: 0 ADCVal: 269
Tue Jun 18 17:28:51 2019 CH: 0 ADCVal: 268
Tue Jun 18 17:28:52 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:53 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:54 2019 CH: 0 ADCVal: 257
Tue Jun 18 17:28:55 2019 CH: 0 ADCVal: 263
Tue Jun 18 17:28:56 2019 CH: 0 ADCVal: 262
Tue Jun 18 17:28:57 2019 CH: 0 ADCVal: 264
Tue Jun 18 17:28:58 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:28:59 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:29:00 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:29:01 2019 CH: 0 ADCVal: 255
Tue Jun 18 17:29:02 2019 CH: 0 ADCVal: 255
Tue Jun 18 17:29:03 2019 CH: 0 ADCVal: 258
Tue Jun 18 17:29:04 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:29:05 2019 CH: 0 ADCVal: 0
Tue Jun 18 17:29:06 2019 CH: 0 ADCVal: 0
